PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,FCD_ID,SW_ID
UniFiProtect,0,UFP-LOCK-R,a911,113-02765,UniFi Protect Doorlock,ufp_efr32_factory.py,,False,000d,1602
UniFiProtect,0,ULM,a919,113-03495,UniFi BLE Location,ufp_efr32_factory.py,client_rpi4_release_hk_20210412,,True,000d,1601
UniFiProtect,0,UP-Chime,ab12,113-03302,UniFi Protect Chime,ufp_esp32_factory.py,,True,000d,1604
UniFiProtect,0,UFP-LOCK-R,a941,113-02765,UniFi Protect Doorlock (HomeKit),ufp_efr32_factory.py,,False,000d,1602
UniFiProtect,0,UFP-TAG-COMBO,a913,113-02973,UniFi Protect Bluetooth Tag,ufp_tag_combo_factory.py,,True,000d,1604
UniFiProtect,0,UP-GARAGE,a915,113-03452,UniFi Protect Smart Garage Door Control,ufp_efr32_factory.py,,True,000d,1604,client_rpi4_release_hk_20210412
UniFiProtect,0,UFP-SENSE,a912,113-02823,UniFi Protect Sensor,ufp_efr32_factory.py,,False,000d,1601
UniFiProtect,0,UP-KEYPAD,a920,113-03325,UniFi Protect Keypad,up_a920_factory.py,,False,000d,1601
UniFiProtect,0,UFP-RADAR,dcb0,113-00806,UniFi Protect Radar,ufp_uboot_factory.py,,True,000d,1604
UniFiProtect,0,UFP-CARD-COMBO,a914,113-03089,UniFi Protect Bluetooth Card,ufp_tag_combo_factory.py,,True,000d,1604
AirFiber,0,LTU-FEED,ae10,113-00927,AirFiber LTU-FEED,af_factory.py,,False,000a,1001
AirFiber,0,LTU-XR,ae11,113-00966,AirFiber LTU-XR,af_factory.py,,False,000a,1001
AirFiber,0,AF60-XG,dd11,113-00809,AirFiber 60 XG,af_ls104x_factory.py,af_ls104x_mfg.py,False,000a,1001
AirFiber,0,LTU-Pro,ae06,113-00680,AirFiber LTU-LR,af_factory.py,,False,000a,1001
AirFiber,0,LTU-Lite,ae08,113-00708,AirFiber LTU-Lite,af_factory.py,,False,000a,1001
AirFiber,0,AF60,dc9b,113-00720,AirFiber 60,af_ipq40xx_factory.py,af_ipq40xx_mfg.py,False,000a,1001
AirFiber,0,WaveAP,dc9f,113-00953,Wave AP,af_ipq40xx_factory.py,af_ipq40xx_mfg.py,False,000a,1001
AirFiber,0,AF60-XR,ac11,113-00719,AirFiber 60 XR,af_ipq80xx_factory.py,af_ipq80xx_mfg.py,False,000a,1001
AirFiber,0,AF60-LR,dc9e,113-00738,AirFiber 60 LR,af_ipq40xx_factory.py,af_ipq40xx_mfg.py,False,000a,1001
AirFiber,0,AF60-HD,dd13,113-00871,AirFiber 60 HD,af_ls104x_factory.py,af_ls104x_mfg.py,False,000a,1001
AirFiber,0,LTU-LR,ae0b,113-00727,AirFiber LTU-LR,af_factory.py,,False,000a,1001
UniFiAP6,0,U6-Mesh,a651,113-10743,UniFi AP6 Mesh Point,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-PRO,a650,113-00963,UniFi AP6 PRO,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Extender,a653,113-01083,UniFi AP6 Extender,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-IW,a652,113-10745,UniFi AP6 InWall,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-LR,a620,113-00744,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Infinity,a655,113-10897,UniFi AP6 Infinity,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Lite-00773,a612,113-00773,UniFi AP6 LITE,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Lite,a612,113-01076,UniFi AP6 LITE,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-LR,a620,113-01078,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Enterprise-IW,a656,113-00956,UniFi AP6 Enterprise IW,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Extender,a653,113-10746,UniFi AP6 Extender,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Enterprise,a654,113-10898,UniFi AP6 Enterprise,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiDream,0,UDM-PRO-SE,ea2c,113-00917,UniFi Dream Machine Pro SE,udm_al324_debian_factory.py,,True,0005,0701
UniFiDream,0,UDM,ea11,113-00623,UniFi Dream Machine,ubios_alpine_factory.py,,True,0005,0701
UniFiDream,0,UXG-PRO,ea19,113-00740,UniFi Next-Generation Gateway,ubios_alpine_factory.py,,True,0005,0701
UniFiDream,0,UDM-Lite,ec2d,113-01075,UniFi Dream Machine Lite,udm_mt7622_bspfactory.py,udm_mt7622_mfg.py,True,0005,0701
UniFiDream,0,UDM-XG,ea17,113-02719,UniFi One Dream Machine XG,udm_xeon1521_factory.py,,True,{},{}
UniFiDream,0,UDW,ea2a,113-00843,UniFi Dream Wall,udm_al324_factory.py,,True,0005,0701
UniFiDream,0,UDM-SE,ea13,113-00618,UniFi Dream Machine Special,udm_alpine_factory.py,,True,{},{}
UniFiDream,0,UDM-PRO,ea15,113-00723,UniFi Dream Machine Pro,ubios_alpine_factory.py,,True,0005,0701
UniFiDream,0,UDM-B,ec25,113-00622,UniFi One Dream Machine Beacon,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0005,0701
UniFiDream,0,UDR,eccc,113-00786,UniFi Dream Router,udm_mt7622_bspfactory.py,udm_mt7622_mfg.py,True,0005,0701
UniFiDream,0,UDM-LITE,ec28,113-00633,UniFi One Dream Machine LITE,udm_mt7622_factory.py,,True,0005,0701
UniFiTalk,0,UT-PHONE-TOUCHMAX,ef0e,113-02950,UniFi Talk IP PHOMEMAX,connect_apq8053_factory.py,,True,0007,0a01
UniFiTalk,0,UT-PHONE-TOUCH,ef82,113-02150,UniFi Talk IP PHOME,connect_apq8053_factory.py,,True,0007,0a01
UniFiTalk,0,UT-ATA,ef0f,113-03808,UniFi Talk Analog Telephone Adapter,ut_dvf9918_factory.py,,True,0007,0a01
UniFiTalk,0,UT-PHONE-TOUCHMAX,ef0e,113-04950,UniFi Talk IP PHOMEMAX,connect_apq8053_factory.py,,True,0007,0a01
UniFiTalk,0,UT-ATA-MAX,ef12,113-03370,UniFi Talk Analog Telephone Adapter,ut_dvf9918_factory.py,,True,0007,0a01
UniFiTalk,0,UT-CONFERENCE,ef11,113-03038,UniFi Talk conference,uvp_qcs403_factory.py,,True,0007,0a01
UniFiTalk,0,UT-PHONE-TOUCH-W,ef13,113-03150,UniFi Talk IP PHOME W,connect_apq8053_factory.py,,True,0007,0a01
UniFiTalk,0,UT-PHONE-FLEX,ef0d,113-02808,UniFi Talk Phone FLEX,ut_dvf9918_factory.py,,True,0007,0a01
UniFiTalk,0,UT-CONF-BOX,ef10,113-03028,UniFi Talk conference box,uvp_qcs603_factory.py,,True,0007,0a01
Amplifi,0,AFi-ALN-R-EU,da13,113-01905,Amplifi ALien Router EU,afi_ipq807x_factory.py,afi_ipq807x_mfg.py,False,{},{}
Amplifi,0,AFi-ALN-P,da12,113-00657,Amplifi Alien Mesh Point SKU change,afi_ipq807x_sku_change.py,,False,{},{}
Amplifi,0,AFi-ALN-P-EU,da14,113-00957,Amplifi ALien Mesh Point EU,afi_ipq807x_factory.py,afi_ipq807x_mfg.py,False,{},{}
Amplifi,0,AFi-ALN-R,da11,113-01605,Amplifi Alien Router SKU change,afi_ipq807x_sku_change.py,,False,{},{}
Amplifi,0,AFi-6-Instant,a616,113-00775,Amplifi 6 Instant,afi_mt7621_bspfactory.py,,False,0004,0601
UniFiVideo,0,UVC-AIBULLET,a5a2,113-03388,UVC AI Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-AI360,a5a0,113-03268,UVC AI 360,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4PRO,a563,113-02574,UVC G4 Pro,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELLPRO,a574,113-03194,UVC G4 Doorbell Pro,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4PTZ,a564,113-02967,UVC G4 PTZ,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4BULLET,a572,113-02987,UVC G4 Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4INS,a595,113-03346,UVC G4 Instant,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3MINI,a590,113-03132,UVC G3 Mini,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELL,a571,113-02712,UVC G4 Doorbell,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOME,a573,113-02998,UVC G4 Dome,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3BATTERY,a580,113-02692,UVC G3 Battery,uvc_factory.py,,False,0009,0e03
UniFiAP,0,UAP-AC-PRO,e537,113-00390,UniFi AC PRO,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,UAP-UBB 831,dc9c,113-00800,UniFi AP Building Bridge 831,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UBB-XG,dd12,113-00958,UniFi AP Building Bridge XG,uap_ls104x_factory.py,uap_ls104x_mfg.py,True,0004,0601
UniFiAP,0,UAP-AC-Lite,e517,113-00391,UniFi AC Lite,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,ULTE-FLEX-US,e615,113-00758,UniFi LTE FLEX US,uap_qca956x_factory2.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UAP-IWHD,ec22,113-00600,UniFi AP IW HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UAP-FLEXHD,ec26,113-00641,UniFi AP Flex HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UAP-UBB,dc98,113-00694,UniFi AP Building Bridge,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UAP-NANO-HD,ec20,113-00573,UniFi AP NANO HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
