PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,SW_ID
UniFiCK,0,UCKP,e970,113-02570,UniFi CloudKey Pluss,uck_apq8053_factory.py,,True,0c01
UniFiCK,0,CK-Enterprise,e990,113-01166,UniFi CloudKey Enterprise,uck_ast2500_factory.py,,True,0c01
UniFiISP,0,UISP-FIBER-XGS,eec9,113-03778,UISP FIBER XGS,uf_ecnt7521_factory.py,,False,0008,0c01
UniFiISP,0,UISP-FIBER-OLT-XGS,eec7,113-03647,UISP-FIBER-OLT-XGS,uf_bcm5616_factory.py,,False,0008,0c01
UniFiISP,0,UISP-FIBER-XG,eec8,113-03685,UISP FIBER XG,uf_ecnt7521_factory.py,,False,0008,0c01
Accessory,0,UACC-ADAPTER-POE-USB,efcc,113-03846,UACC-ADAPTER-POE-USB,uf_ecnt7521_factory.py,,False,0008,0c01
UniFiDrive,0,UNAS-Studio,ea50,113-03576,UniFi Studio,unas_alpine_factory.py,,True,0006,2101
UniFiDrive,0,UNAS-Pro,ea51,113-03751,UniFi NAS PRO,unas_alpine_factory.py,,True,0006,2101
USP,0,USP-RPS-PRO,ed13,113-03086,UniFi SmartPower RPS PRO,us_mt7621_factory.py,,True,0002,0201
USP,0,USP3,e643,113-00364,Unifi Smart Plug 3,unifi_ar9331_factory.py,,True,000e,1801
USP,0,USP-Plug,ee73,113-00731,UniFi smart plug,usp_esp8266_factory.py,,True,000e,1801
USP,0,USP-RPS,ed11,113-02781,UniFi SmartPower RPS,us_mt7621_factory.py,,True,0002,0201
USP,0,USP-STRIP_777,ee74,113-00777,Unifi Smart Power STRIP,usp_esp8266_factory.py,,True,000e,1801
USP,0,USP-PRO-PDU-HD,ed15,113-01036,UniFi Smart Power PRO PDU HD,afi_udw_mt7628_factory.py,,True,000e,1801
USP,0,USP8,e648,113-00365,Unifi Smart Plug 8,unifi_ar9331_factory.py,,True,000e,1801
USP,0,USP-STRIP_896,ee74,113-00896,Unifi Smart Power STRIP,usp_esp8266_factory.py,,True,000e,1801
